customer_number,duka_latitude,duka_longitude,cluster,territory,warehouse_latitude,warehouse_longitude
ID_172101,0.0367843,37.6541553,8,Kisii,-0.6713333,34.7678889
ID_007289,-1.5186837,37.2678657,16,Ruiru,-1.2286944,36.9891111
ID_063088,-0.2714807,36.1016357,5,Karatina,-0.4731389,37.1262222
ID_196874,-1.241157695,36.89670124,0,Athi River,-1.4275556,36.9704444
ID_140563,-4.0079356,39.6900487,1,Eastlands,-1.3241389,36.867
ID_034784,-1.3106019,36.8220437,0,Athi River,-1.4275556,36.9704444
ID_056619,-1.2961168,36.748147,15,Ruai,-1.2285389,36.9890257
ID_034804,-1.4596916,36.9707296,17,Thika Rd,-1.2420833,36.8763611
ID_006726,-1.258337,36.8801097,0,Athi River,-1.4275556,36.9704444
ID_019232,-4.0382911,39.6570942,1,Eastlands,-1.3241389,36.867
ID_080015,-1.3140683,36.7960917,15,Ruai,-1.2285389,36.9890257
ID_046037,-1.3128465,36.889581,0,Athi River,-1.4275556,36.9704444
ID_046037,-1.3128029,36.8895581,0,Athi River,-1.4275556,36.9704444
ID_009743,-1.1835553,36.9029496,0,Athi River,-1.4275556,36.9704444
ID_133437,-1.2325287,36.9309672,0,Athi River,-1.4275556,36.9704444
ID_066627,-3.3019827,40.0116087,9,Kisumu1,-0.0879444,34.7596667
ID_142894,-1.3166317,36.8897917,0,Athi River,-1.4275556,36.9704444
ID_161346,-1.467877,36.9418182,17,Thika Rd,-1.2420833,36.8763611
ID_116297,-1.2912106,36.7329537,15,Ruai,-1.2285389,36.9890257
ID_163556,-1.2870637,36.9813044,0,Athi River,-1.4275556,36.9704444
ID_090240,0.130002536,37.5667214,8,Kisii,-0.6713333,34.7678889
ID_011276,-4.0331229,39.686583,1,Eastlands,-1.3241389,36.867
ID_119418,-3.4716904,38.4001665,7,Kiambu,-1.2284444,36.6881944
ID_176418,-1.521652,36.9441988,17,Thika Rd,-1.2420833,36.8763611
ID_121824,-3.3840756,38.3357021,7,Kiambu,-1.2284444,36.6881944
ID_181733,-4.0574777,39.6733948,1,Eastlands,-1.3241389,36.867
ID_060365,-0.2783705,36.0548073,5,Karatina,-0.4731389,37.1262222
ID_181355,-0.2138519,37.6595761,8,Kisii,-0.6713333,34.7678889
ID_132490,-4.0259523,39.6944687,1,Eastlands,-1.3241389,36.867
ID_078745,-1.3915743,36.943527,17,Thika Rd,-1.2420833,36.8763611
ID_004807,-1.2087639,36.9277407,0,Athi River,-1.4275556,36.9704444
ID_108079,-1.2167701,36.6548079,15,Ruai,-1.2285389,36.9890257
